id1,id2,label
5577,5507,0
1126,7170,0
277,417,0
536,5711,0
2399,3183,0
76,2365,0
2897,3012,1
5539,417,0
2098,2734,1
5941,4890,0
1189,2703,0
6902,2002,0
5734,5555,0
4968,1336,0
4685,3889,0
6339,3433,0
6663,3089,0
2178,5693,0
6749,343,0
4436,1229,0
1805,6106,0
2421,1925,0
6974,587,0
2500,7346,0
308,2532,0
886,632,0
3138,6023,0
6630,2875,0
621,1555,0
4778,2840,0
2384,5312,0
722,4899,0
3304,6772,0
4274,2091,0
2297,2245,0
2551,358,0
6314,6506,0
2273,73,0
5704,680,0
3400,495,0
5660,4465,0
1525,1319,0
6033,6954,0
6568,6333,0
3967,119,0
4549,7449,0
94,352,0
3301,5131,0
686,5289,0
4357,4320,0
1896,2678,0
4724,3162,0
6681,6642,0
550,3688,0
4204,7094,0
1662,5290,0
339,3626,0
3727,3503,1
1861,4295,0
3258,3405,0
4605,543,0
3354,4165,0
62,1711,0
287,4021,0
6886,482,0
3275,5178,0
4280,1603,0
4992,3436,0
5058,927,0
2253,637,0
4871,4261,0
2693,3200,0
4586,779,0
842,7375,0
5896,1749,0
2514,5166,0
7039,3936,0
2627,6822,1
2366,4441,1
5925,6602,0
2352,6554,0
1566,363,0
7313,6669,0
4788,1969,0
5595,7059,0
4781,117,0
2196,3231,0
407,5497,0
2545,6718,0
5041,3823,0
2416,2944,0
5282,2643,1
5844,3596,0
2382,2649,0
5718,1042,0
4174,4182,0
5945,7457,0
5480,4484,0
1496,3144,0
1264,6518,0
6610,883,0
2184,882,0
4278,3999,0
6943,289,0
4345,3033,0
858,2588,0
2599,1775,0
4762,3490,0
31,6695,1
3482,3523,0
4249,3598,0
3373,5708,0
3822,1348,0
5260,7320,1
6944,500,0
1452,5364,0
408,38,0
6481,4535,0
2458,4756,0
6432,3636,0
5560,5857,0
3196,2564,0
1037,1421,0
772,7298,0
2718,7124,0
2931,1320,0
992,4113,0
4019,6482,0
365,2295,0
2947,6622,0
449,5886,0
5970,1445,0
2478,5637,0
1810,3047,0
175,6567,0
2610,1116,0
6634,4500,0
3236,1197,0
11,6684,0
