nohup: ignoring input
program_start_time:  2020-06-12 07:55:12.146852
Train for  C
train_data:  
4904 3050 0
4259 5173 0
4451 5479 1
5688 4967 0
362 1325 0
1126 7073 0
6322 303 0
2225 1329 0
4856 121 0
4843 5384 0
2565 3434 1
3625 1144 1
1462 4537 0
6948 1716 0
1724 3966 0
1337 1188 0
5058 1040 0
2221 5271 0
1913 3294 0
2647 1396 0
4525 1396 0
842 777 0
6925 7080 0
643 6417 0
2426 5580 0
2323 2266 0
1414 3578 0
2947 5779 0
92 6824 0
1419 1035 0
2567 697 0
1413 6436 0
6124 3950 0
5938 604 0
6311 6048 0
5955 4898 0
3059 1132 0
6042 5522 0
5588 316 0
6000 809 0
2169 5077 0
3418 189 0
973 3994 0
5351 2032 0
4194 1459 0
1539 5332 0
3205 7476 0
1727 4062 0
5179 3263 0
2983 6773 1
7049 4881 0
4845 340 0
2929 4216 0
2158 2875 0
3574 1298 0
4011 4469 0
3394 3121 0
6281 5597 0
2467 6353 0
4112 1263 0
1733 7288 0
484 7188 0
3899 1837 0
1446 6716 0
5440 504 0
5063 5940 1
4465 6264 1
2082 4899 1
6143 1039 0
5375 4404 0
6321 3947 0
7118 3108 0
2509 340 0
6041 3135 0
4743 4186 0
6886 5414 0
883 3758 0
6970 262 0
4908 4585 0
275 471 0
6285 4087 0
5595 1787 0
3844 5630 0
3833 2633 0
884 3210 0
6698 6186 0
3831 6559 0
7495 7111 0
4281 3168 1
6585 6706 0
4575 2565 0
736 546 0
1152 705 0
5435 1868 0
7321 3159 1
6161 6129 0
2772 3209 1
6134 1601 0
6265 5434 0
134 77 0
7058 5793 0
2802 5485 0
7082 6931 0
7393 6695 0
2321 5422 0
2430 4108 0
6356 7002 0
6867 757 0
7320 1606 0
3166 6479 0
4591 150 0
6577 1643 0
170 6576 0
4525 6797 1
3799 7170 0
997 3321 0
3119 162 0
780 4737 0
4300 6688 1
2976 5469 0
2258 314 0
7200 4824 0
4220 3267 0
303 3551 0
6768 3116 0
6545 95 0
1885 3775 0
4708 4199 0
1392 5007 0
5773 4663 0
1860 670 0
83 6241 1
3732 3854 0
5888 4094 0
6039 4189 0
6373 1545 0
6850 2007 1
2804 6333 0
4751 6789 0
258 3801 0
4289 2337 0
5945 6289 0
2640 4544 0
629 6133 0
2989 5980 0
3407 6863 0
6633 1449 0
7035 5986 0
3761 6547 0
4700 3589 0
5248 7069 0
1615 2083 0
3782 377 1
2510 5791 0
1478 6624 0
6986 3662 0
6862 5528 0
1290 4476 0
2255 4666 0
49 6915 0
4761 1579 0
7001 4649 0
2963 2105 0
3408 2063 0
49 3196 0
7231 364 0
5868 256 0
5185 3234 0
4752 2978 0
1376 4599 0
2317 5687 0
2045 3057 0
2208 5519 0
4649 2826 1
6111 2309 0
6903 1266 0
6184 2769 0
447 4388 0
3341 1758 0
5127 2505 0
2727 302 0
2651 7474 0
1136 7147 0
1043 4598 0
622 4860 0
7476 3050 0
1691 5054 0
7137 6011 0
7221 6327 0
2108 6211 1
2457 4397 0
716 526 0
5879 509 0
2628 4314 0
3813 4355 0
6747 1294 0
291 160 0
3490 7207 0
6083 1116 0
313 7346 0
2131 418 0
1292 4957 0
4697 5749 0
6986 1097 0
7097 4495 0
5692 4547 0
640 4230 0
5444 3675 1
4453 7439 1
2814 1825 0
206 4043 0
3431 6134 0
5391 6597 0
2402 5307 0
6452 7391 0
831 4141 0
3080 2537 0
5511 5826 0
2416 1255 0
6156 4631 0
1627 2409 1
5003 2890 0
6982 6241 0
5676 4341 0
696 698 0
2780 1662 0
7321 2404 0
5224 1203 0
374 4973 0
4697 3684 0
267 4105 0
2860 3090 1
172 2543 0
3835 5629 0
2867 4883 0
6998 720 0
6136 2146 0
3872 1017 0
6543 6467 0
7310 5723 0
1369 2364 0
4423 3916 0
4284 4440 0
627 5365 0
1094 7149 0
2023 6664 0
2496 3794 0
2368 2909 0
1421 2134 1
4878 3010 0
7364 510 0
1440 1696 1
5009 1437 0
340 3914 0
2975 2291 0
5919 2452 0
805 7229 0
6365 6293 0
3354 6327 0
6515 6508 1
1901 1921 0
1253 5547 0
5 2372 1
1004 6403 0
4336 3954 0
1630 6005 0
4972 5715 0
6594 6571 0
1575 4230 0
4653 1225 0
2176 4084 0
2148 710 0
7497 2203 0
7232 6751 0
4044 3701 0
3335 7202 0
5897 2540 0
7024 3188 0
5070 3995 0
6825 7266 0
4750 3239 0
7096 4491 0
7287 2689 0
5718 549 0
3694 1656 0
1072 5444 0
2178 2229 1
6339 5132 0
7133 2815 0
1304 2551 1
6195 1968 0
5206 344 0
3429 5253 0
6835 6966 0
5959 3095 0
6393 772 0
6977 6385 0
3103 2345 0
4017 2827 0
1924 7156 0
4249 5723 0
1722 6422 0
51 1435 0
2920 5951 0
6687 6102 0
4903 3819 0
6180 2233 0
7325 5810 0
7035 6062 0
7147 4496 0
5599 5138 0
6792 5213 0
7065 1701 0
1173 6762 0
7069 6691 0
4844 1505 0
2005 1325 0
3908 1007 0
3777 1487 0
3612 7083 0
3892 6610 0
7262 490 0
1275 6066 0
3020 2778 0
129 3274 1
6200 411 0
4329 6637 0
2680 1887 0
6770 3812 0
4195 5120 1
4588 5585 0
5631 3995 0
5849 4987 0
798 5438 0
6280 490 0
1627 83 1
6061 3802 0
5512 4666 0
278 3446 0
2556 3952 0
90 869 0
3346 3113 0
3229 2837 0
771 1327 0
6643 2014 0
3733 2710 0
595 3751 0
1890 3188 0
6487 4225 0
4325 3192 0
3113 4005 0
4673 1340 0
1216 422 0
4143 6528 0
4481 2806 0
3590 6941 0
2168 6104 0
3232 496 0
5410 1318 0
7061 6315 0
6203 6293 0
5209 4235 0
5516 6410 0
6905 2796 1
7356 4477 0
4681 2734 0
4888 5026 0
108 6952 0
4454 1283 0
1457 5288 0
277 834 0
3181 2477 0
6580 3821 0
6594 3971 0
462 786 0
1200 773 0
6178 3357 0
5638 6523 0
6985 508 0
6383 1175 0
622 4932 0
6124 3449 1
6073 5207 0
2708 3507 0
1948 5220 0
3620 7052 0
7193 1327 1
2841 2736 1
3442 991 0
5236 3717 0
4929 2833 0
5937 5422 0
4333 2635 0
1890 7064 1
2645 6001 0
525 3703 0
3452 58 0
702 4254 0
862 4557 0
6485 6064 0
58 5996 0
7341 6930 0
6296 5566 0
2724 4283 0
6329 1926 0
5724 3507 0
3563 1201 0
1867 6459 0
6010 7486 0
