nohup: ignoring input
program_start_time:  2020-06-16 04:25:44.828722
Train for  C
train_data:  
5968 4349 0
5358 6563 0
6966 6210 0
4959 2681 1
463 503 1
768 5256 1
5008 1217 0
1251 2360 1
5144 5982 0
6413 4770 1
3211 4671 1
3035 2973 1
497 5500 0
4700 2896 1
2014 4602 1
4136 6147 1
2522 1615 1
2625 741 0
4332 5852 1
4301 5260 1
6980 4202 0
1748 4832 1
6307 520 1
3588 5649 1
4021 4206 1
3355 3704 1
3701 2094 0
4884 2181 1
5960 4863 1
3222 6047 1
7446 232 0
5633 4872 1
5038 2759 1
4516 4525 1
4256 4855 0
6426 4249 1
1869 4465 0
374 4706 1
5239 4599 1
87 2983 0
4903 6582 1
1011 5517 1
5531 37 1
4369 5336 0
2089 7450 0
822 3007 1
787 7194 1
1035 6422 1
1681 4515 1
241 3938 1
2729 3034 1
3803 2231 1
273 3317 1
5128 2251 0
4341 7089 0
2915 3561 0
5866 5530 1
4829 3190 0
1131 5339 0
1065 7158 1
4099 1881 1
2873 5266 1
1057 48 1
2808 2569 0
6535 1025 0
6421 1139 1
6141 2059 0
1223 703 0
6472 1981 1
1108 4139 0
3671 1548 0
2864 445 0
767 6390 0
5677 5055 0
4701 6388 1
2068 2401 1
6878 4639 1
2865 922 1
6205 5968 0
5224 7233 0
254 583 1
3085 987 1
1580 267 0
5207 6979 1
5939 5874 0
3954 4200 1
6711 7215 0
7373 2104 0
5473 4986 1
6213 3976 0
6032 6345 0
2872 3499 1
1008 6803 0
5607 897 1
265 571 1
2781 1553 1
3504 4953 0
1969 5272 0
5052 671 1
2483 666 0
2527 1129 1
7090 4239 0
1471 6834 1
5547 7391 0
2052 1575 1
4260 2820 1
2173 4356 0
6130 6861 0
5341 2698 1
2697 1742 0
5629 7284 0
770 3171 0
2320 7300 0
1642 5354 0
6252 1212 1
6708 5779 1
5868 5876 0
3560 1122 0
3660 5725 1
72 286 1
4706 750 0
3402 268 1
4212 4017 0
5746 929 1
7117 6812 0
151 6063 1
6533 4947 1
7108 5270 1
776 5794 0
4323 4651 1
1947 6482 1
5402 2564 0
2891 2128 0
3647 4753 1
4610 447 1
6343 2943 0
6299 2251 1
3949 3703 1
7473 2304 0
1749 7138 0
1129 6393 0
797 2099 1
2728 1597 0
6201 4546 0
6574 7030 1
5381 2662 0
3315 6975 0
2388 6994 1
4658 354 1
6944 2853 1
6342 6300 0
5842 5339 1
1224 655 1
2954 7147 1
5048 5597 0
4577 572 0
713 307 0
3645 3933 1
1250 4878 1
1279 388 0
6384 1038 0
1324 1941 0
6712 5534 1
576 382 1
3520 2256 0
3957 6611 1
5190 2055 0
4440 1071 0
6625 5569 1
781 1748 0
1517 3797 1
5266 2709 0
3156 5497 0
3751 7037 0
2712 6816 1
278 6401 1
6648 1127 1
4612 3833 0
796 3188 0
6715 6524 1
3474 1761 1
1948 19 1
6563 551 0
7451 3205 1
4133 2661 0
164 4404 0
6433 5121 0
3371 2915 0
1349 874 1
2100 6992 1
535 6476 0
2454 4744 0
2477 4398 1
239 1472 0
3184 3058 1
3671 4417 0
5005 6627 1
2293 5233 0
5805 7292 1
5262 526 0
4906 6100 1
4740 6629 1
4623 4519 1
6159 6191 0
4341 823 0
4731 3563 0
1934 5647 1
5060 3993 0
5463 6999 1
5756 5930 1
4733 3916 0
1712 2823 1
5825 4326 1
1051 6279 0
897 4484 0
2733 5351 0
3289 5965 1
2292 314 1
5809 3152 1
7032 3910 1
7120 6001 0
4553 3891 1
1350 733 1
820 6189 0
3376 1855 0
3455 1519 0
7397 391 1
5393 3285 1
3977 6591 1
966 1179 0
4664 5866 1
5402 988 1
6876 5202 0
1336 2776 1
1917 1384 1
4414 2389 1
62 7378 0
5331 1158 1
3053 2668 0
3668 3960 0
3708 313 0
3825 3071 0
140 3886 1
2930 2382 1
2162 6321 1
1292 4214 0
6846 6318 0
2689 5757 1
5613 1416 0
6952 2168 1
5817 3178 0
1482 3303 0
1774 870 1
4072 1075 1
3126 4724 0
1123 6013 0
469 4867 0
3379 5960 1
1044 1353 1
1657 3214 1
510 3388 1
7341 4201 1
4353 6547 0
6675 3982 1
5720 6726 1
684 275 1
4437 6481 1
2603 1728 0
6178 5824 1
6545 4026 1
4851 122 1
6492 1386 0
939 279 1
4707 3152 1
1997 4282 1
4699 2128 1
2959 3644 0
7045 6366 0
1013 2652 1
5203 4034 0
5502 1356 0
4319 761 1
4841 2190 1
4066 741 0
5164 2765 0
5994 2934 0
2751 1501 1
6558 5103 0
4297 6042 1
768 3921 0
4279 7000 1
2239 126 0
5352 6247 0
4357 5074 0
2887 6010 1
6612 1765 1
6865 6050 0
5587 7389 0
4262 3214 1
666 6387 1
463 4995 1
2349 2478 0
6486 4811 0
1594 4974 0
4544 2177 1
3053 2615 0
4849 3960 0
3799 7206 0
5038 6654 0
550 2047 0
5874 5756 0
1244 5483 1
6308 4697 1
4868 6018 1
6211 6983 0
1565 1083 0
1113 7472 0
5365 652 0
5755 1681 0
2089 5837 1
7232 7108 0
2090 4353 0
4319 7375 1
7279 3038 1
1949 486 1
2675 6934 1
4991 6149 1
3593 5582 1
811 4406 1
5980 4007 0
2814 2700 1
2717 1240 0
4469 3444 0
5473 669 0
4489 6260 0
794 5599 0
5335 6523 1
1207 1087 0
676 4538 0
4369 4897 0
4802 85 0
1430 7337 1
5538 744 1
6459 3061 0
5450 2213 1
6966 7399 0
2125 5084 1
5140 6799 0
1468 3834 1
2516 4333 1
3894 5359 1
6084 2900 1
2923 3894 0
1436 188 0
1997 3537 1
1428 347 0
5421 3932 0
2655 3763 0
2115 3624 1
6526 5681 1
1099 1108 0
5831 3250 1
3156 2194 1
3678 5788 1
2214 1531 0
4551 1330 0
6773 3357 1
6242 5823 1
4986 1231 0
2365 2738 1
1051 4648 1
2220 1663 1
3244 3733 0
4053 959 1
3940 6540 1
2923 1789 0
4195 182 1
354 3032 0
1134 3799 0
4526 7191 1
5792 720 1
1230 260 1
7127 6393 1
7073 5238 0
3849 511 1
6480 6918 0
5827 4417 0
1274 3357 1
2699 1914 1
4170 856 1
2247 4163 1
2225 284 1
5393 2863 1
4658 3795 1
6241 741 0
7327 2317 1
7100 775 1
6715 2719 1
3411 3531 1
3720 2381 0
124 5682 0
727 3434 0
2999 2001 1
6086 3619 1
457 5298 0
4295 801 1
4161 5672 0
5985 1877 0
989 2078 1
5106 2107 1
5925 473 1
6430 5454 0
4486 560 1
2184 2197 0
3934 4658 0
5225 1148 0
7364 1680 1
6963 3481 0
2689 4888 1
2180 7411 0
1747 7307 1
986 1268 1
5268 1667 0
5625 1575 1
3141 1295 0
6148 2475 0
6677 872 1
2498 4716 0
1643 6236 1
45 6353 0
5133 6512 0
4495 7186 0
1992 758 1
5305 7244 1
5853 4533 1
3077 438 1
6173 2730 0
2535 6530 0
7172 2170 1
5925 2128 1
3830 6597 1
5783 4097 1
4993 3766 1
1462 5492 0
1247 3158 0
24 2472 1
4115 2389 1
5641 1497 0
7315 6719 0
4483 6273 0
3202 971 0
5418 3229 0
3090 1575 1
7276 87 1
995 2216 1
7144 2949 1
4514 3168 0
3078 2976 0
6963 446 0
5614 7422 0
4345 4114 1
3759 4822 0
4308 5111 1
6563 5451 0
482 3302 0
1292 6722 0
5731 3176 0
1069 5751 0
5785 646 0
5652 896 1
624 4244 1
5294 625 1
7009 1765 1
1032 1456 0
1093 5250 1
3934 4950 0
99 5272 1
1596 1391 0
1502 5999 1
5555 1626 0
4970 251 0
6020 2453 0
5451 6456 1
6355 4606 0
2388 3736 1
3871 5601 0
3534 2166 0
3745 4366 1
2141 6823 1
404 1959 0
4558 772 1
1521 3033 0
5472 3514 1
6525 6195 0
4531 2607 0
2633 6414 1
6715 1206 1
4667 6411 1
1674 1476 0
3777 95 1
3927 6392 1
7124 5861 0
1494 4773 0
7334 3105 0
6776 4618 0
3045 4654 1
538 5312 1
1476 1267 1
4029 168 0
6061 1849 0
4144 1345 0
3331 5905 1
5968 156 0
2265 5193 0
2588 1151 1
2972 6961 0
4334 6502 1
4531 7367 1
6173 6411 0
3563 2203 1
7250 1578 0
7031 3221 0
3369 7363 1
2498 1569 0
452 5436 1
1779 5589 0
6240 7130 0
5742 1749 1
7213 118 0
6321 6458 1
356 6823 1
1508 1875 0
1648 855 1
3067 2518 1
7204 5558 0
7155 3574 0
965 5551 1
4651 7460 1
5430 6898 1
5688 1874 1
1459 766 0
3504 6748 0
5677 4678 1
2070 2468 1
7392 6067 1
7228 7250 0
7454 6535 0
367 82 0
527 6074 1
6579 1668 0
5933 4514 1
2896 182 1
335 3884 0
1460 3303 0
7330 1158 0
344 6259 0
2054 3105 1
4214 3460 1
1458 3553 1
7055 5562 0
1749 2294 0
1647 971 0
5544 1716 1
3611 5277 0
346 1007 1
4087 2716 0
566 416 1
398 1303 1
5860 3176 0
4724 6323 1
515 3242 1
5856 5819 1
855 4676 0
6623 1246 1
5394 4535 1
4717 7220 0
5525 22 1
4895 3283 1
5957 4972 1
5632 5184 1
2956 1035 1
574 3544 0
2515 3463 0
5656 6874 1
430 5716 1
1767 4510 0
1959 6203 1
652 1484 0
7047 6682 0
6085 3595 1
1881 7076 1
497 3790 1
6715 202 1
6552 942 0
1684 3906 0
4992 516 0
1087 3799 0
6954 1840 0
4025 2947 1
5633 4760 1
4920 6648 0
5759 6814 1
288 4064 1
1712 5609 1
5842 1402 1
3321 1077 1
698 6411 0
7392 3862 1
2167 1104 1
284 1340 0
1725 3518 1
1100 6608 0
7086 6247 0
2020 2171 0
6662 2415 0
131 4897 1
2702 6914 0
4629 3101 1
4245 1849 1
615 6743 0
165 2343 1
4843 2529 1
6863 526 0
5228 6488 0
5684 2585 1
3457 1325 1
4360 4527 1
3741 2120 0
1634 1455 0
2975 520 1
6629 5852 0
4532 7085 0
918 3043 0
4510 2670 0
3954 7449 1
6711 4691 1
4140 2905 0
4749 5553 0
90 2041 0
2148 3531 0
7152 6674 1
3620 5202 0
2830 7202 0
2522 6050 1
5978 3435 0
4172 3041 0
2100 6383 1
2747 156 0
3269 5402 0
5662 1929 1
5219 6861 1
3295 6854 1
5079 5946 1
6833 5341 0
5765 2611 0
7285 6694 0
5563 2511 1
3088 3288 0
5097 7468 0
6321 1416 0
2551 4089 1
108 3230 1
7155 5673 0
4079 3669 0
3903 5385 1
2490 5955 1
1138 2744 0
3881 4287 0
