nohup: ignoring input
program_start_time:  2020-06-15 22:15:49.021934
Train for  C
train_data:  
1810 2926 1
3726 2240 0
2318 6086 0
1107 5480 0
4798 3789 1
4915 5995 0
4407 4561 0
5256 3969 1
2615 896 0
118 7371 1
2721 2916 1
5789 5500 1
5998 5101 0
988 7156 0
3101 70 0
1841 5391 1
4880 52 1
5574 5056 0
1408 1 0
7269 6136 1
4591 4979 0
2242 1270 1
1070 2675 1
3722 5122 1
3022 5124 0
1054 77 1
4945 5327 1
2945 5570 0
945 637 0
1553 1060 1
3634 946 1
2067 6307 1
6880 6179 1
1650 634 1
4431 5046 1
4194 2806 0
3011 3463 0
91 5337 0
7060 630 1
5210 4401 1
2867 2685 1
1547 3444 0
1079 579 1
4195 1622 1
5241 8 1
6176 172 1
7405 2819 0
1519 705 0
5649 7172 1
4167 7327 1
7138 36 1
4394 2945 1
221 7463 0
4433 7021 1
3086 1577 0
5396 1279 0
5110 5416 0
6253 5851 0
661 7449 1
7051 4554 1
3143 5812 0
756 1951 0
4954 3168 1
3938 6794 0
302 2117 0
31 7415 0
862 1591 0
946 2931 0
461 7198 0
928 2331 0
2322 7002 0
5645 506 1
5243 605 1
6762 3181 1
1062 5095 1
1111 399 1
673 3200 1
1026 2118 1
2534 5100 1
2003 5683 1
311 4069 1
336 832 1
3700 2035 0
3678 2045 0
3889 4609 1
2043 1394 0
4075 5302 0
984 1449 0
3442 485 0
3057 6638 1
5213 4598 1
537 4018 1
2540 648 0
5287 5767 0
4020 6753 0
2899 5106 0
7403 423 0
2666 6832 1
3273 5271 1
2521 3436 1
705 4240 1
2402 4134 0
7038 3769 1
805 3670 1
680 5568 0
2262 3615 1
3610 889 1
5409 2905 0
5715 6335 0
4199 1693 0
6528 2054 0
77 4200 0
2895 2201 1
1900 4684 1
4548 4394 1
6830 5827 1
1585 6614 1
3648 5577 0
2687 6793 0
3528 160 0
108 206 0
4771 3188 1
1616 6957 0
6422 4606 0
3920 1536 0
6822 4690 1
893 405 1
4403 2500 0
7268 2136 0
1461 3628 0
4976 5468 0
5094 1282 1
3989 1111 1
897 279 0
625 4694 0
4195 1822 1
4026 2026 1
4116 3696 0
1966 6415 0
2037 4063 1
4633 6335 0
6301 2103 0
5174 111 0
5045 6387 1
3687 2428 0
202 5935 0
2944 1675 1
1512 2490 0
1789 2483 0
1911 272 0
1628 7366 1
4694 1413 0
1655 5295 1
1239 7199 1
2527 4680 0
2429 5523 1
2112 7403 1
2306 6457 0
5118 4455 0
1209 6492 1
523 7163 0
2197 5621 1
2173 1333 1
2172 1625 1
3292 5248 1
314 6037 1
3338 2527 1
933 1622 1
2981 243 0
4055 1838 0
5044 4081 1
7024 7004 1
7199 7447 0
1003 7494 1
4195 6116 1
3967 2505 1
1454 89 1
1683 101 0
2875 4652 0
219 2538 0
4245 7193 0
2891 1339 1
7070 5881 1
5514 251 0
6980 4663 1
3801 5804 0
7369 5698 0
3013 3949 1
1684 3336 1
7134 1447 1
6558 6295 0
698 6712 1
1094 4641 0
4806 4916 0
15 2489 0
1433 3408 0
733 581 1
6247 0 1
3979 1856 1
6199 2276 0
4868 4411 1
7266 4226 0
2767 2811 0
4930 3434 0
1531 5735 1
4962 3414 1
2121 5521 1
4241 267 1
4170 592 0
1373 40 1
2692 6199 0
3787 796 0
5530 997 0
2832 543 0
1725 7128 1
2051 2215 1
4057 195 0
5099 189 0
7274 1761 1
1749 5265 0
110 882 1
6691 1501 0
3223 2991 0
6617 1163 1
5005 261 0
7157 1103 0
2741 7315 1
631 1744 0
6092 2137 1
6641 4401 0
5241 6012 1
1854 6328 1
1057 3802 1
3599 4795 1
7076 972 1
6003 4660 1
4816 3705 0
3611 6899 1
539 6558 1
6961 6300 1
1953 800 0
6887 5976 1
6539 4877 1
2174 5837 1
1342 6422 0
1526 3670 1
5050 5978 1
437 4079 0
6376 6847 0
1851 2600 1
370 7469 1
1836 5197 1
744 7043 1
57 3411 1
1178 2550 1
4107 5414 1
3390 2716 1
2698 6938 1
569 2650 1
755 3570 0
2076 6803 0
2704 4911 1
3944 521 0
1598 6443 0
2381 3149 0
3263 4414 1
6501 2982 0
6138 2654 1
2091 6596 1
6195 5866 1
7112 2153 1
2397 6298 1
6775 1062 0
1362 7192 1
5350 5091 0
1387 3588 1
5307 6573 1
7376 7338 0
5350 4238 1
5093 4323 0
6301 1538 0
1677 4103 0
6703 2778 1
7016 1321 0
1342 5251 0
2951 2001 0
4169 2518 0
3662 6529 1
1670 1916 0
749 3733 0
7336 4479 0
1691 2366 1
3861 1849 1
5806 5395 1
5565 6851 0
5467 5292 1
381 2392 0
1047 5940 0
935 3807 0
6151 1118 1
3085 1523 0
1637 5511 1
4838 443 1
6147 368 1
1505 5169 1
6207 6181 1
5949 1166 1
1750 4229 0
4802 588 1
6916 4702 1
1705 4769 0
5984 1269 1
2436 2049 1
4046 2697 1
2453 2461 0
3705 820 1
2683 4658 1
697 1265 1
7420 7136 0
2597 1195 1
1695 4135 1
2855 3916 0
4001 3780 0
392 4092 0
7401 5142 0
974 261 1
2783 3317 0
2849 135 0
5331 6972 0
2005 2907 1
1201 2785 0
3404 6739 1
1570 1940 1
1087 5282 0
5808 218 1
535 65 0
4084 7479 0
1973 5567 0
2371 4452 0
6291 5511 0
612 5195 0
3765 396 0
5051 3536 1
4157 322 0
3267 5569 1
2692 6489 0
3701 739 1
5298 6156 1
5937 7491 1
2908 3901 1
1247 6644 0
7158 3748 0
1575 902 0
1001 2593 1
2706 3000 0
675 5888 0
5362 3740 0
863 525 1
58 2042 0
3617 5367 0
5306 347 0
5741 3790 1
2250 1960 1
4008 6207 0
253 4015 0
2527 2037 0
4886 1428 0
2903 1248 1
3947 3707 1
4535 4021 1
4124 6655 0
1989 6910 1
459 5926 1
2892 5709 0
3372 6791 1
2907 2724 0
1032 2819 0
2438 5407 1
6580 6781 0
4548 7019 1
4028 6590 1
719 4446 1
2335 1447 1
547 2535 0
88 6945 0
93 2586 0
4413 5647 0
4030 3580 0
2084 193 0
5866 3897 1
4056 5643 1
4635 7161 1
1637 1234 1
5904 4840 0
5463 6383 0
2264 4772 0
2277 4857 1
4145 7477 0
2412 2020 1
5561 4459 0
1979 6947 0
2432 6610 1
2194 6113 1
1858 7273 0
848 370 0
6884 7405 1
3436 439 0
4533 2746 0
4969 1903 1
5772 259 0
2353 6854 1
2974 6684 0
7131 2747 0
3174 5042 0
5023 336 0
5955 7072 1
6908 7332 1
46 1315 0
6250 5988 1
4123 6804 0
6570 4110 0
3399 1598 0
5548 4911 0
1806 3281 0
5985 5777 0
4088 2498 0
2998 6920 0
5749 5399 0
5474 1740 0
5444 680 1
4085 6366 1
4705 4220 1
5795 4450 0
2482 7351 0
6534 754 0
2914 7187 0
1649 5745 1
6015 346 0
5560 90 0
827 3006 1
3235 4780 0
6822 3434 1
766 564 1
6694 1486 0
3088 995 0
2738 3460 0
6881 6923 1
1087 2494 0
5011 6897 1
5539 3797 1
4834 5766 0
3526 3871 1
5735 6992 1
7061 1664 1
4205 2670 1
2079 2856 1
5248 300 0
4775 4841 0
4935 2226 1
6800 2618 1
2717 2448 1
4232 2402 1
1482 4006 0
4290 7009 1
6219 1690 1
6148 5358 1
1432 4984 0
4162 7028 1
6895 2642 1
5661 5521 1
7164 962 0
3203 6760 0
4312 6380 0
5388 3588 1
4536 1911 0
48 6568 1
295 6246 1
5643 963 0
7153 6672 0
2530 1957 0
2005 7319 1
4047 5738 1
3423 3599 0
6652 904 0
1218 1121 1
2122 3629 0
