nohup: ignoring input
program_start_time:  2020-06-14 23:54:59.202000
Train for  C
train_data:  
3423 6016 1
46 3677 0
2483 4086 0
6325 3836 1
834 674 1
1459 876 0
3626 2580 1
2458 6784 1
157 1122 1
1231 722 1
4036 3617 1
4224 2126 0
3661 7148 1
546 2812 0
3008 1499 0
6094 2824 0
698 3624 1
306 5552 0
3015 438 0
1422 4686 1
1373 1797 0
4012 3312 0
1256 5288 1
2132 3645 1
5820 5153 1
6458 5108 1
6603 2572 1
6901 4395 1
6613 4688 0
777 2748 1
2241 4115 0
4621 5571 1
1952 5156 0
3284 3369 1
3937 7263 0
6698 7435 0
2359 107 1
6108 4089 0
2116 4532 1
304 3923 0
6849 125 0
2663 4534 0
2966 4120 1
6179 687 0
5297 4403 1
2691 2421 1
4591 5863 1
761 3729 1
4129 1722 1
1922 5262 1
3027 1697 0
1482 145 1
1669 3246 1
934 3767 0
3923 5551 0
4988 4094 1
2772 6424 0
505 4728 0
3581 3546 1
1332 5017 0
5361 2754 1
7434 2083 0
3297 5720 1
2033 5129 1
3692 1785 1
6305 700 0
4148 5115 0
5634 6702 1
2690 2445 1
1356 307 0
5401 6559 0
5888 4889 1
212 2667 0
6523 3218 0
738 6119 1
4109 2222 0
529 4806 0
3111 6148 0
5791 6827 1
2498 1364 0
4956 5737 1
6361 29 1
881 2343 0
282 3310 1
5080 1650 0
3519 4238 0
4438 1545 1
5834 4873 1
3782 3185 0
1927 1465 0
2330 4671 1
6335 4024 1
1583 327 0
1391 6757 1
6364 734 1
2214 7468 0
7212 4750 0
1630 749 1
6399 5851 1
2701 717 0
5329 1689 0
2813 2655 0
677 2796 1
7100 360 0
843 1257 0
6869 2812 1
2678 1875 1
5201 5262 1
5744 4332 0
1239 4437 1
597 6067 0
920 3897 1
168 7146 0
2597 1579 1
226 3729 0
2102 3819 0
5584 5774 0
2768 6903 0
3226 2968 0
1254 1022 1
5390 5416 1
5112 6172 1
3590 2182 1
4466 3187 0
6314 6766 1
5415 2785 1
2414 4414 0
3629 4691 0
6577 1720 0
5988 3898 1
4902 3263 0
6296 2228 0
1229 6875 1
5754 67 0
2600 4009 1
5494 5544 1
4618 4132 1
741 3957 1
4411 199 0
671 7307 1
1896 438 1
3554 5717 0
410 3838 0
875 4369 0
3258 296 0
156 5129 1
3108 6700 0
6089 1108 0
7418 5367 1
2169 2731 1
5232 131 1
5978 7051 1
3608 7384 1
5748 983 1
1205 884 1
6765 3753 1
