nohup: ignoring input
program_start_time:  2020-06-13 04:17:51.778306
Train for  C
train_data:  
5079 4577 0
7137 3470 0
4491 6774 0
5939 4925 0
4473 6009 0
2136 7226 0
5675 2577 0
7068 3894 0
5437 2570 0
4247 6515 1
1955 4640 0
4765 4719 0
2248 43 0
5421 6051 0
7279 4491 0
4851 4920 1
406 7035 0
6804 279 0
5847 4123 0
4075 4709 0
1638 6986 0
7309 1560 0
436 7194 0
2668 4111 0
1155 4160 0
4430 756 0
4578 4131 0
6839 4909 0
7359 818 0
5928 3795 0
4007 4415 0
4225 923 0
811 3289 0
4599 239 0
6013 7426 0
4910 6143 0
612 2554 0
5371 4876 0
1284 2740 0
3526 5482 0
7489 5654 0
3883 4125 0
1985 4580 0
1371 4435 0
2898 1346 0
1038 4772 0
2725 5398 0
5937 5094 0
2594 5160 0
3107 2122 0
5903 7056 0
6735 4913 0
6108 4421 0
6949 2879 0
3247 751 0
191 1277 0
2928 5421 0
7096 111 0
4289 1168 0
5065 4567 0
136 5345 1
4094 5537 0
5862 4875 0
1097 6184 0
5961 5185 0
3020 5052 0
2487 4245 0
3939 344 0
1191 1102 0
5278 5539 0
3793 6528 0
253 241 0
4382 2841 0
1650 6055 0
6026 5884 0
4282 1351 0
4724 2620 0
3403 6237 0
2392 4201 0
772 6338 0
3849 3668 0
2444 2123 1
5467 2310 0
1560 6752 1
6636 1930 0
3294 5248 0
3114 2207 0
3270 5234 0
3087 7328 0
6962 5356 0
1412 4097 0
4595 3118 0
1670 5371 1
7063 3658 0
5768 3241 0
4482 820 0
5904 1931 0
5604 2281 0
3891 2370 0
2295 6143 0
2898 2618 0
2739 2572 0
82 1579 0
2640 6116 0
5188 5015 0
5041 6138 0
558 4742 0
4505 5761 0
3947 5258 0
618 5341 0
2860 647 0
7286 1575 0
5935 5245 0
5150 2157 0
1119 4499 0
6951 4911 0
1014 6101 0
2871 221 0
3977 5999 0
1526 271 0
4130 143 0
6242 1510 0
2001 5032 0
5518 6183 0
258 491 0
5686 361 0
6044 2573 0
6362 3870 0
1240 3040 0
975 4641 0
1985 3921 0
1638 3267 0
